Date,Year,Month,Recession,Consumer_Confidence,Seasonality_Weight,Price,Advertising_Expenditure,Competition,GDP,Growth_Rate,unemployment_rate,Automobile_Sales,Vehicle_Type,City
1980-01-31,1980,Jan,1,108.24,0.45,27704,2025,7,60.22,0.01,5.4,220,SmallFamilyCar,Georgia
1980-01-31,1980,Jan,1,108.24,0.45,77270,1091,7,60.22,0.01,5.4,72,Sports,Georgia
1980-01-31,1980,Jan,1,108.24,0.36,19665,2025,7,60.22,0.01,5.4,238,SuperMiniCar,Georgia
1980-01-31,1980,Jan,1,108.24,0.38,36986,2025,7,60.22,0.01,5.4,224,MediumFamilyCar,Georgia
1980-02-29,1980,Feb,1,98.75,0.46,26609,3962,4,45.99,-0.31,4.8,280,SmallFamilyCar,New York
1980-02-29,1980,Feb,1,98.75,0.36,18963,3962,4,45.99,-0.31,4.8,266,SuperMiniCar,New York
1980-02-29,1980,Feb,1,98.75,0.39,33517,3962,4,45.99,-0.31,4.8,266,MediumFamilyCar,New York
1980-03-31,1980,Mar,1,107.48,0.85,33735,4078,3,35.14,-0.31,3.4,1023,MediumFamilyCar,New York
1980-03-31,1980,Mar,1,107.48,0.86,70860,2196,3,35.14,-0.31,3.4,608,Sports,New York
1980-03-31,1980,Mar,1,107.48,0.87,52479,2196,3,35.14,-0.31,3.4,607,ExecutiveCar,New York
1980-04-30,1980,Apr,1,115.01,1.0,56484,1157,7,45.67,0.23,4.2,260,ExecutiveCar,Illinois
1980-04-30,1980,Apr,1,115.01,1.0,15933,2149,7,45.67,0.23,4.2,695,SuperMiniCar,Illinois
1980-04-30,1980,Apr,1,115.01,1.0,75390,1157,7,45.67,0.23,4.2,264,Sports,Illinois
1980-04-30,1980,Apr,1,115.01,1.0,25208,2149,7,45.67,0.23,4.2,716,SmallFamilyCar,Illinois
1980-04-30,1980,Apr,1,115.01,1.0,39352,2149,7,45.67,0.23,4.2,727,MediumFamilyCar,Illinois
1980-05-31,1980,May,1,98.72,0.2,25387,1715,4,53.0,0.14,5.3,798,SmallFamilyCar,California
1980-05-31,1980,May,1,98.72,0.2,59827,923,4,53.0,0.14,5.3,270,ExecutiveCar,California
1980-05-31,1980,May,1,98.72,0.2,75191,923,4,53.0,0.14,5.3,294,Sports,California
1980-05-31,1980,May,1,98.72,0.2,38434,1715,4,53.0,0.14,5.3,798,MediumFamilyCar,California
1980-06-30,1980,Jun,1,105.55,0.97,18598,3345,5,20.3,-1.61,2.9,1161,SuperMiniCar,Illinois
1980-06-30,1980,Jun,1,105.55,0.98,75734,1801,5,20.3,-1.61,2.9,673,Sports,Illinois
1980-06-30,1980,Jun,1,105.55,0.77,32590,3345,5,20.3,-1.61,2.9,1166,MediumFamilyCar,Illinois
1980-07-31,1980,Jul,1,82.45,0.5,31063,3676,3,34.58,0.41,2.9,716,MediumFamilyCar,Illinois
1980-07-31,1980,Jul,1,82.45,0.5,76265,1980,3,34.58,0.41,2.9,261,Sports,Illinois
1980-07-31,1980,Jul,1,82.45,0.5,57421,1980,3,34.58,0.41,2.9,275,ExecutiveCar,Illinois
1980-08-31,1980,Aug,1,98.76,0.25,70466,2042,3,55.65,0.38,3.0,271,Sports,New York
1980-08-31,1980,Aug,1,98.76,0.25,59949,2042,3,55.65,0.38,3.0,272,ExecutiveCar,New York
1980-08-31,1980,Aug,1,98.76,0.25,18233,3792,3,55.65,0.38,3.0,716,SuperMiniCar,New York
1980-08-31,1980,Aug,1,98.76,0.25,34324,3792,3,55.65,0.38,3.0,709,MediumFamilyCar,New York
